부문 구분,category,artist,title,이미지
베스트,올해의 앨범,G-DRAGON,Übermensch,https://cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg?df31ad712fff6724758b97cff3094bc2/melon/resize/400/quality/80/optimize
베스트,올해의 아티스트,G-DRAGON,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/0e/167/202512191137536920.png/melon/quality/90/optimize
베스트,올해의 베스트송,G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",cdnimg.melon.co.kr/cm2/album/images/116/47/670/11647670_20241121150855_500.jpg?ca3667d3396803e3f6b227e77440b735/melon/resize/400/quality/80/optimize
베스트,올해의 레코드,제니 (JENNIE),like JENNIE,cdnimg.melon.co.kr/cm2/album/images/117/30/946/11730946_20250307173452_500.jpg?4bb4ad8df2c3d590e5b8445c1e81c9a3/melon/resize/400/quality/80/optimize
베스트,올해의 신인,ALLDAY PROJECT,,cdnimg.melon.co.kr/cm2/artistcrop/images/043/46/804/4346806_20251201114005_500.jpg?YUV444/melon/resize/400/quality/80/optimize
베스트,올해의 신인,Hearts2Hearts (하츠투하츠),,cdnimg.melon.co.kr/cm2/artistcrop/images/040/96/106/4096106_20251017110625_500.jpg?e41945ea32bde3f24c9b06a4bcb55c9a/melon/resize/400/quality/80/optimize
베스트상,베스트 솔로 여자,로제 (ROSÉ),,cdnimg.melon.co.kr/cm2/artistcrop/images/009/95/171/995171_20241119160749_500.jpg?b331813ac87a806706e2a8fca7befbbe/melon/resize/400/quality/80/optimize
베스트상,베스트 솔로 남자,G-DRAGON,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/59/740/202512191138189613.png/melon/quality/90/optimize
베스트상,베스트 그룹 여자,IVE (아이브),,cdnimg.melon.co.kr/cm2/artistcrop/images/030/55/146/3055146_20250811163829_500.jpg?9896f82272595273f1a1648fc14a8e1a/melon/resize/400/quality/80/optimize
베스트상,베스트 그룹 남자,BOYNEXTDOOR,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/61/0ee/202512181535599637.png/melon/quality/90/optimize
베스트상,베스트 OST,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,cdnimg.melon.co.kr/cm2/album/images/118/59/863/11859863_20250620104512_500.jpg?YUV444/melon/resize/400/quality/80/optimize
베스트상,베스트 팝 아티스트,Ed Sheeran,,cdnimg.melon.co.kr/cm2/artistcrop/images/005/49/800/549800_20250916102905_500.jpg?76045883e6a37371fa460e1f3a638526/melon/resize/400/quality/80/optimize
특별상,스테이지 오브 더 이어,aespa,,cdnimg.melon.co.kr/cm2/artistcrop/images/028/99/555/2899555_20250903151353_500.jpg?YUV444/melon/resize/400/quality/80/optimize
특별상,올해의 뮤직비디오,KiiiKiii (키키),I DO ME,cdnimg.melon.co.kr/cm2/album/images/117/15/826/11715826_20250324115745_500.jpg?63f6f37172e4269657420c4ea7b8b8be/melon/resize/400/quality/80/optimize
특별상,베스트 송라이터,G-DRAGON,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/b8/2cd/202512191138336353.png/melon/quality/90/optimize
특별상,J-팝 페이보릿 아티스트,Kenshi Yonezu,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/0d/a18/202512181616465870.png/melon/quality/90/optimize
특별상,베스트 퍼포먼스 여자,아일릿(ILLIT),,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/98/211/202512181541598739.png/melon/quality/90/optimize
특별상,베스트 퍼포먼스 남자,RIIZE,,cdnimg.melon.co.kr/cm2/artistcrop/images/034/78/478/3478478_20251120114312_500.jpg?9676afefdfdee36068e7371b7c847914/melon/resize/400/quality/80/optimize
특별상,베스트 뮤직스타일,10CM,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/f0/cc4/202512191138514367.png/melon/quality/90/optimize
특별상,베스트 뮤직스타일,ALLDAY PROJECT,,cdnimg.melon.co.kr/cm2/artistcrop/images/043/46/804/4346804_20251201114005_500.jpg?YUV444/melon/resize/400/quality/80/optimize
특별상,글로벌 아티스트,aespa,,cdnimg.melon.co.kr/cm2/artistcrop/images/028/99/555/2899555_20250903151353_500.jpg?YUV444/melon/resize/400/quality/80/optimize
특별상,글로벌 라이징 아티스트,IDID (아이딧),,cdnimg.melon.co.kr/cm2/artistcrop/images/043/79/610/4379610_20251119171014_500.jpg?7bd80b783c5d86a8f2cba0a76e38323c/melon/resize/400/quality/80/optimize
특별상,1theK 글로벌 아이콘,KiiiKiii (키키),,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/cc/d39/202512181543122606.png/melon/quality/90/optimize
특별상,핫트렌드,WOODZ,,cdnimg.melon.co.kr/cm2/artistcrop/images/020/86/047/2086047_20250924133233_500.jpg?3cc8c9126a4a2f3bb4c6eb531faa9a3f/melon/resize/400/quality/80/optimize
특별상,베스트 프로듀서,지코 (ZICO),,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/3c/793/202512191343392508.png/melon/quality/90/optimize
인기상,트랙제로 초이스,한로로,,cdnimg.melon.co.kr/cm2/artistcrop/images/030/80/810/3080810_20250801163622_500.jpg?958022ee57e90b52798a64694d76bbd2/melon/resize/400/quality/80/optimize
인기상,Berriz 글로벌 팬스 초이스,Hearts2Hearts (하츠투하츠),,cdnimg.melon.co.kr/cm2/artistcrop/images/040/96/106/4096106_20251017110625_500.jpg?e41945ea32bde3f24c9b06a4bcb55c9a/melon/resize/400/quality/80/optimize
인기상,재팬 페이보릿 아티스트 by 유넥스트,BOYNEXTDOOR,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/98/3b8/202512181544268563.png/melon/quality/90/optimize
인기상,카카오뱅크 모두의 스타,NCT WISH,,cdnimg.melon.co.kr/cm2/artistcrop/images/035/74/243/3574244_20251106151559_500.jpg?154082f53dc66879b64f560859e4ef97/melon/resize/400/quality/80/optimize
TOP10,TOP10,로제 (ROSÉ),,cdnimg.melon.co.kr/cm2/artistcrop/images/009/95/171/995171_20241119160749_500.jpg?b331813ac87a806706e2a8fca7befbbe/melon/resize/400/quality/80/optimize
TOP10,TOP10,임영웅,,cdnimg.melon.co.kr/cm2/artistcrop/images/009/94/944/994944_20250828210901_500.jpg?YUV444/melon/resize/400/quality/80/optimize
TOP10,TOP10,제니 (JENNIE),,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/9e/52f/202512191139486497.png/melon/quality/90/optimize
TOP10,TOP10,aespa,,cdnimg.melon.co.kr/cm2/artistcrop/images/028/99/555/2899555_20250903151353_500.jpg?YUV444/melon/resize/400/quality/80/optimize
TOP10,TOP10,BOYNEXTDOOR,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/4a/c4d/202512181548373076.png/melon/quality/90/optimize
TOP10,TOP10,G-DRAGON,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/5c/c83/202512191139553921.png/melon/quality/90/optimize
TOP10,TOP10,IVE (아이브),,cdnimg.melon.co.kr/cm2/artistcrop/images/030/55/146/3055146_20250811163829_500.jpg?9896f82272595273f1a1648fc14a8e1a/melon/resize/400/quality/80/optimize
TOP10,TOP10,NCT WISH,,cdnimg.melon.co.kr/cm2/artistcrop/images/035/74/243/3574243_20251106151559_500.jpg?154082f53dc66879b64f560859e4ef97/melon/resize/400/quality/80/optimize
TOP10,TOP10,PLAVE,,cdnimg.melon.co.kr/cm2/artistcrop/images/032/07/401/3207401_20251110152214_500.jpg?71c4196296db6d1d7c312206aa9fc2dd/melon/resize/400/quality/80/optimize
TOP10,TOP10,RIIZE,,cdnimg.melon.co.kr/cm2/artistcrop/images/034/78/478/3478478_20251120114312_500.jpg?9676afefdfdee36068e7371b7c847914/melon/resize/400/quality/80/optimize
밀리언스 TOP10,밀리언스 TOP10,아이유,꽃갈피 셋,cdnimg.melon.co.kr/cm2/album/images/118/31/781/11831781_20250526162725_500.jpg?YUV444/melon/resize/400/quality/80/optimize
밀리언스 TOP10,밀리언스 TOP10,PLAVE,Caligo Pt.1,cdnimg.melon.co.kr/cm2/album/images/117/05/481/11705481_20250203111457_500.jpg?fd17ca097853ee5e1861bd69a0a03024/melon/resize/400/quality/80/optimize
밀리언스 TOP10,밀리언스 TOP10,임영웅,IM HERO 2,cdnimg.melon.co.kr/cm2/album/images/120/83/192/12083192_20250828155052_500.jpg?cb0b44883a8b13fccb78b2ff216a0323/melon/resize/400/quality/80/optimize
밀리언스 TOP10,밀리언스 TOP10,BOYNEXTDOOR,No Genre,cdnimg.melon.co.kr/cm2/album/images/118/05/155/11805155_20250513094426_500.jpg?a1603d24c220bd4361643ddfa9639957/melon/resize/400/quality/80/optimize
밀리언스 TOP10,밀리언스 TOP10,RIIZE,ODYSSEY - The 1st Album,cdnimg.melon.co.kr/cm2/album/images/117/96/054/11796054_20250519154637_500.jpg?92559cadc0e22d46a4ce3d3a3fc9c402/melon/resize/400/quality/80/optimize
밀리언스 TOP10,밀리언스 TOP10,로제 (ROSÉ),rosie,cdnimg.melon.co.kr/cm2/album/images/116/59/696/11659696_20241205141243_500.jpg?b3d60f3009c2f1cb8ec15eddfe68c134/melon/resize/400/quality/80/optimize
밀리언스 TOP10,밀리언스 TOP10,제니 (JENNIE),Ruby,cdnimg.melon.co.kr/cm2/album/images/117/30/946/11730946_20250307173452_500.jpg?4bb4ad8df2c3d590e5b8445c1e81c9a3/melon/resize/400/quality/80/optimize
밀리언스 TOP10,밀리언스 TOP10,세븐틴 (SEVENTEEN),SEVENTEEN 5th Album ‘HAPPY BURSTDAY’,cdnimg.melon.co.kr/cm2/album/images/118/29/498/11829498_20250526100446_500.jpg?YUV444/melon/resize/400/quality/80/optimize
밀리언스 TOP10,밀리언스 TOP10,G-DRAGON,Übermensch,cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg?df31ad712fff6724758b97cff3094bc2/melon/resize/400/quality/80/optimize