연도,수상부문,수상자,_merge,정답여부
2020,올해의 아티스트,방탄소년단,both,True
2020,올해의 앨범,MAP OF THE SOUL : 7,both,True
2020,올해의 베스트송,Blueming,left_only,False
2020,올해의 신인,"싹쓰리 (유두래곤, 린다G, 비룡)",left_only,False
2020,올해의 신인,환불원정대,left_only,False
2020,TOP10,방탄소년단,both,True
2020,TOP10,아이유,both,True
2020,TOP10,백현 (BAEKHYUN),both,True
2020,TOP10,백예린 (Yerin Baek),both,True
2020,TOP10,BLACKPINK,both,True
2020,TOP10,창모 (CHANGMO),left_only,False
2020,TOP10,지코 (ZICO),both,True
2020,TOP10,"싹쓰리 (유두래곤, 린다G, 비룡)",left_only,False
2020,TOP10,EXO,left_only,False
2020,TOP10,임영웅,both,True
2021,올해의 아티스트,아이유,both,True
2021,올해의 앨범,IU 5th Album 'LILAC',both,True
2021,올해의 베스트송,Celebrity,left_only,False
2021,올해의 신인,이무진,both,True
2021,올해의 신인,MSG워너비(M.O.M),left_only,False
2021,베스트 솔로 여자,아이유,both,True
2021,베스트 그룹 여자,aespa,both,True
2021,베스트 솔로 남자,이무진,left_only,False
2021,베스트 그룹 남자,방탄소년단,both,True
2021,TOP10,아이유,both,True
2021,TOP10,방탄소년단,both,True
2021,TOP10,이무진,both,True
2021,TOP10,릴보이 (lIlBOI),both,True
2021,TOP10,NCT DREAM,both,True
2021,TOP10,aespa,both,True
2021,TOP10,미란이 (MIRANI),left_only,False
2021,TOP10,임영웅,both,True
2021,TOP10,AKMU (악뮤),both,True
2021,TOP10,헤이즈 (Heize),both,True
2022,올해의 아티스트,BE'O (비오),left_only,False
2022,올해의 앨범,NewJeans 1st EP 'New Jeans',left_only,False
2022,올해의 베스트송,취중고백,left_only,False
2022,올해의 신인,WSG워너비 (가야G),left_only,False
2022,올해의 신인,YENA (최예나),left_only,False
2022,베스트 솔로 여자,아이유,both,True
2022,베스트 그룹 여자,IVE (아이브),both,True
2022,베스트 솔로 남자,BE'O (비오),left_only,False
2022,베스트 그룹 남자,멜로망스,left_only,False
2022,TOP10,BE'O (비오),both,True
2022,TOP10,IVE (아이브),both,True
2022,TOP10,i-dle (아이들),both,True
2022,TOP10,NewJeans,both,True
2022,TOP10,아이유,both,True
2022,TOP10,10CM,left_only,False
2022,TOP10,aespa,left_only,False
2022,TOP10,태연 (TAEYEON),left_only,False
2022,TOP10,멜로망스,both,True
2022,TOP10,김민석 (멜로망스),left_only,False
2023,올해의 아티스트,NewJeans,both,True
2023,올해의 앨범,NewJeans 'OMG',left_only,False
2023,올해의 베스트송,Ditto,both,True
2023,올해의 신인,지수 (JISOO),left_only,False
2023,올해의 신인,RIIZE,both,True
2023,베스트 솔로 여자,지아,left_only,False
2023,베스트 그룹 여자,NewJeans,both,True
2023,베스트 솔로 남자,임영웅,left_only,False
2023,베스트 그룹 남자,세븐틴 (SEVENTEEN),left_only,False
2023,TOP10,NewJeans,both,True
2023,TOP10,IVE (아이브),both,True
2023,TOP10,세븐틴 (SEVENTEEN),both,True
2023,TOP10,NCT DREAM,both,True
2023,TOP10,aespa,both,True
2023,TOP10,LE SSERAFIM (르세라핌),both,True
2023,TOP10,투모로우바이투게더,left_only,False
2023,TOP10,임영웅,both,True
2023,TOP10,STAYC(스테이씨),left_only,False
2023,TOP10,i-dle (아이들),both,True
2023,밀리언스 TOP10,NewJeans 'OMG',left_only,False
2023,밀리언스 TOP10,NewJeans 2nd EP 'Get Up',both,True
2023,밀리언스 TOP10,I've IVE,both,True
2023,밀리언스 TOP10,SEVENTEEN 10th Mini Album ‘FML',both,True
2023,밀리언스 TOP10,Candy - Winter Special Mini Album,left_only,False
2023,밀리언스 TOP10,MY WORLD - The 3rd Mini Album,both,True
2023,밀리언스 TOP10,I feel,both,True
2023,밀리언스 TOP10,UNFORGIVEN,both,True
2023,밀리언스 TOP10,부석순 1st Single Album 'SECOND WIND',both,True
2023,밀리언스 TOP10,Love Lee,left_only,False
2024,올해의 아티스트,aespa,both,True
2024,올해의 앨범,The Winning,left_only,False
2024,올해의 베스트송,Supernova,both,True
2024,올해의 신인,TWS (투어스),both,True
2024,올해의 신인,아일릿(ILLIT),both,True
2024,베스트 솔로 여자,아이유,both,True
2024,베스트 그룹 여자,aespa,both,True
2024,베스트 솔로 남자,이무진,left_only,False
2024,베스트 그룹 남자,DAY6 (데이식스),left_only,False
2024,TOP10,aespa,both,True
2024,TOP10,DAY6 (데이식스),both,True
2024,TOP10,i-dle (아이들),both,True
2024,TOP10,아이유,both,True
2024,TOP10,RIIZE,both,True
2024,TOP10,태연 (TAEYEON),left_only,False
2024,TOP10,PLAVE,both,True
2024,TOP10,이무진,left_only,False
2024,TOP10,TWS (투어스),both,True
2024,TOP10,NewJeans,both,True
2024,밀리언스 TOP10,The Winning,both,True
2024,밀리언스 TOP10,Armageddon - The 1st Album,both,True
2024,밀리언스 TOP10,2,left_only,False
2024,밀리언스 TOP10,Fourever,left_only,False
2024,밀리언스 TOP10,How Sweet,both,True
2024,밀리언스 TOP10,SUPER REAL ME,left_only,False
2024,밀리언스 TOP10,Band Aid,both,True
2024,밀리언스 TOP10,ASTERUM : 134-1,both,True
2024,밀리언스 TOP10,비의 랩소디,left_only,False
2024,밀리언스 TOP10,To. X - The 5th Mini Album,both,True
2025,올해의 아티스트,G-DRAGON,both,True
2025,올해의 앨범,Übermensch,both,True
2025,올해의 베스트송,"HOME SWEET HOME (feat. 태양, 대성)",both,True
2025,올해의 신인,조째즈,left_only,False
2025,올해의 신인,ALLDAY PROJECT,both,True
2025,베스트 솔로 여자,아이유,left_only,False
2025,베스트 그룹 여자,IVE (아이브),both,True
2025,베스트 솔로 남자,G-DRAGON,both,True
2025,베스트 그룹 남자,BOYNEXTDOOR,both,True
2025,TOP10,G-DRAGON,both,True
2025,TOP10,BOYNEXTDOOR,both,True
2025,TOP10,임영웅,both,True
2025,TOP10,IVE (아이브),both,True
2025,TOP10,아이유,left_only,False
2025,TOP10,로제 (ROSÉ),both,True
2025,TOP10,ALLDAY PROJECT,left_only,False
2025,TOP10,제니 (JENNIE),both,True
2025,TOP10,PLAVE,both,True
2025,TOP10,10CM,left_only,False
2025,밀리언스 TOP10,Übermensch,both,True
2025,밀리언스 TOP10,IVE EMPATHY,both,True
2025,밀리언스 TOP10,"HOME SWEET HOME (feat. 태양, 대성)",left_only,False
2025,밀리언스 TOP10,IM HERO,left_only,False
2025,밀리언스 TOP10,꽃갈피 셋,both,True
2025,밀리언스 TOP10,FAMOUS,left_only,False
2025,밀리언스 TOP10,Caligo Pt.1,both,True
2025,밀리언스 TOP10,너에게 닿기를,left_only,False
2025,밀리언스 TOP10,rosie,both,True
2025,밀리언스 TOP10,오늘만 I LOVE YOU,left_only,False
