artist,국적,활동유형,활동년대,활동장르,데뷔(곡),생일,멤버,결성일,해체일
김태리,대한민국,"여성, 솔로","2010,2020","국내영화, 국내드라마, 발라드",,,,,
닐로(Nilo),대한민국,"남성, 솔로","2010,2020",발라드,"2015.09.14
곡재생 바보",1990.04.18,,,
레드벨벳-아이린&슬기,대한민국,"여성, 그룹",2020,"댄스, R&B/Soul, 일렉트로니카","2020.07.06
곡재생 Monster",,"아이린 (IRENE) , 슬기 (SEULGI)",,
양요섭,대한민국,"남성, 솔로","2000,2010,2020","발라드, 국내드라마, R&B/Soul",,1990.01.05,,,
유아 (오마이걸),대한민국,"여성, 솔로","2010,2020","댄스, 발라드, 국내드라마",,,,,
포맨 (4MEN),대한민국,"남성, 그룹","1990,2000,2010,2020","발라드, R&B/Soul, 국내드라마","1998.02.01
곡재생 나보다 더 나를 사랑한",,"윤요셉 , 하은 (포맨) , 한빈 (포맨)",1998,
신예영,대한민국,"여성, 솔로","2010,2020","발라드, 국내드라마, 록/메탈",2019.11.20|우리 왜 헤어져야 해,1991.12.03,,,
규현 (KYUHYUN),대한민국,"남성, 솔로","2000,2010,2020","발라드, 국내드라마, 댄스","2014.11.13
곡재생 광화문에서 (At Gwanghwamun)",1988.02.03,,,
가비엔제이,대한민국,"여성, 그룹","2000,2010,2020","발라드, R&B/Soul, 댄스","2005.11.11
곡재생 Happiness",,"나예 (가비엔제이) , 루안 (가비엔제이) , 리엘 (가비엔제이) , 예잔 (가비엔제이)",2005,
창모 (CHANGMO),대한민국,"남성, 솔로","2010,2020","랩/힙합, 국내드라마, 댄스","2014.06.10
곡재생 Gangster (Feat. Livii)",1994.05.31,,,
조이 (JOY),대한민국,"여성, 솔로","2010,2020","발라드, 국내드라마, 댄스","2017
곡재생 여우야",1996.09.03,,,
XIA (준수),대한민국,"남성, 솔로","2000,2010,2020","발라드, 댄스, 국내드라마","2012.05.15
곡재생 Tarantallegra (Feat. Flowsik Of Aziatix)",1986.12.15,,,
곽진언,대한민국,"남성, 솔로","2010,2020","발라드, 국내드라마, 포크/블루스","2016.05.10
곡재생 나랑 갈래",1991,,,
"싹쓰리 (유두래곤, 린다G, 비룡)",대한민국,"혼성, 그룹",2020,댄스,2020.07.11|여름 안에서 by 싹쓰리 (Feat. 황광희),,"유두래곤 , 린다G , 비룡",,
LUCY,대한민국,"남성, 그룹","2010,2020","록/메탈, 국내드라마, 애니메이션/웹툰","2020.05.08
곡재생 개화 (Flowering)",,"신예찬 , 최상엽 , 조원상 , 신광일",,
WSG워너비 조별경연 (대청봉),대한민국,"여성, 그룹",,,,,,,
노아주다 (noahjooda),대한민국,"남성, 솔로","2010,2020","랩/힙합, 인디음악, R&B/Soul",2019.01.29|놓아주다 (Feat. Glen More),,,,
브라운아이드걸스,대한민국,"여성, 그룹","2000,2010,2020","댄스, 발라드, R&B/Soul","2006.03.02
곡재생 다가와서",,"제아 , 나르샤 (Brown Eyed Girls) , 미료 , 가인",2006,
허성현 (rosy),대한민국,"남성, 솔로","2010,2020","랩/힙합, 인디음악, R&B/Soul","2019.10.15
곡재생 1번",,,,
몬스타엑스,대한민국,"남성, 그룹","2010,2020","댄스, 랩/힙합, POP","2015.05.14
곡재생 무단침입 (Trespass)",,"주헌 (몬스타엑스) , 셔누 (몬스타엑스) , 기현 (몬스타엑스) , 형원 (몬스타엑스) , 민혁 (몬스타엑스) , I.M (아이엠)",,
하동균,대한민국,"남성, 솔로","2000,2010,2020","발라드, 국내드라마, 록/메탈","2006.06.09
곡재생 넋두리",1980.06.28,,,
ZEROBASEONE (제로베이스원),대한민국,"남성, 그룹",2020,"댄스, R&B/Soul, 국내드라마","2023.07.10
곡재생 In Bloom",,"성한빈 (ZEROBASEONE) , 김지웅 (ZEROBASEONE) , 석매튜 (ZEROBASEONE) , 김태래 (ZEROBASEONE) , 박건욱 (ZEROBASEONE)",,
Sondia,대한민국,"여성, 솔로","2010,2020","국내드라마, 발라드, 록/메탈",,,,,
MINO (송민호),대한민국,"남성, 그룹","2010,2020","댄스, 발라드, 랩/힙합","2014.08.17
곡재생 공허해",,"강승윤 , JINU (김진우) , MINO (송민호) , 이승훈",,
NC.A,대한민국,"여성, 솔로","2010,2020","발라드, 댄스, 국내드라마","2013.08.12
곡재생 교생쌤",1996.10.07,,,
윤딴딴,대한민국,"남성, 솔로","2010,2020","포크/블루스, 인디음악, 국내드라마",2014.02.14|겨울을 걷는다,,,,
민니 (MINNIE),타이 왕국,"여성, 솔로","2010,2020","국내드라마, 발라드, POP","2025.01.21
곡재생 HER",1997.10.23,,,
Apink (에이핑크),대한민국,"여성, 그룹","2010,2020","댄스, 발라드, POP","2011.04.19
곡재생 몰라요",,"정은지 , 박초롱 (에이핑크) , 오하영 (에이핑크) , 김남주 (에이핑크) , 윤보미 (에이핑크)",,
김진표,대한민국,"남성, 솔로","1990,2000,2010,2020","랩/힙합, 국내드라마, 발라드","1997.06.01
곡재생 Fly -왜 그렇게 사나요-",1977.08.13,,,
이수 (엠씨더맥스),대한민국,"남성, 솔로","2000,2010,2020","발라드, 국내드라마, 국내영화","2008.04.15
곡재생 삐에로",1981,,,
tripleS (트리플에스),대한민국,"여성, 그룹",2020,"댄스, R&B/Soul, 국내드라마",,,"윤서연 , 정혜린 , 이지우 , 김채연 , 김유연 , 김수민 , 김나경 , 공유빈 , 카에데 , 서다현 , 니엔 , 박소현 , 신위 , 마유 , 코토네 , 곽연지 , 린 , 주빈 , 정하연 , 박시온 , 김채원 , 설린 , 서아 , 지연",,
한동근,대한민국,"남성, 솔로","2010,2020","발라드, 국내드라마, 댄스","2014.09.30
곡재생 이 소설의 끝을 다시 써보려 해",1993.05.09,,,
황치열,대한민국,"남성, 솔로","2000,2010,2020","발라드, 국내드라마, 댄스","2007.02.12
곡재생 한번만",1982.12.03,,,
이승윤,대한민국,"남성, 솔로","2010,2020","록/메탈, 인디음악, 국내드라마","2013.05.07
곡재생 오늘도",,,,
하이라이트 (HIGHLIGHT),대한민국,"남성, 그룹","2010,2020","댄스, 발라드, R&B/Soul","2017.03.20
곡재생 얼굴 찌푸리지 말아요",,"윤두준 , 양요섭 , 이기광 , 손동운",,
정경호,대한민국,"남성, 솔로","2000,2010,2020","국내드라마, 발라드, 록/메탈",,,,,
죠지,대한민국,"남성, 솔로","2010,2020","R&B/Soul, 발라드, 국내드라마","2016.03.16
곡재생 THE BOTTOM OF THE SEA",,,,
미연 (MIYEON),대한민국,"여성, 솔로","2010,2020","국내드라마, 발라드, 댄스",,1997.01.31,,,
#안녕,대한민국,"남성, 솔로","2010,2020","발라드, 인디음악, 국내드라마","2016.08.18
곡재생 그 후에",,,,
GOT the beat,대한민국,"여성, 그룹",2020,댄스,"2022.01.03
곡재생 Step Back",,"보아 (BoA) , 태연 (TAEYEON) , 효연 (HYOYEON) , 슬기 (SEULGI) , 웬디 (WENDY) , 카리나 (KARINA) , 윈터 (WINTER)",,
잠골버스,대한민국,"남성, 그룹","2010,2020","발라드, 인디음악, 록/메탈",2020.01.28|그때는 이 거리가 아름다웠다,,"잠골버스(준헌) , 김용 , 정일호 , 정윤섭",,
길구봉구,대한민국,"남성, 그룹","2010,2020","발라드, 국내드라마, 댄스","2013.04.01
곡재생 미칠 것 같아",,"봉구 (길구봉구) , 길구 (길구봉구)",,
세훈&찬열,대한민국,"남성, 그룹","2010,2020","랩/힙합, 일렉트로니카",2019.07.22|What a life,,"세훈 (SEHUN) , 찬열 (CHANYEOL)",,
오마이걸 (OH MY GIRL),대한민국,"여성, 그룹","2010,2020","댄스, 발라드, POP","2015.04.20
곡재생 CUPID",,"효정 (오마이걸) , 미미 (오마이걸) , 유아 (오마이걸) , 승희 (오마이걸) , 유빈 (오마이걸) , 아린 (오마이걸)",,
씨야,대한민국,"여성, 그룹","2000,2010","발라드, 댄스, 국내영화","2006.03.12
곡재생 여인의 향기",,"남규리 , 김연지 , 이보람 (씨야)",2006,2011.01
X1 (엑스원),대한민국,"남성, 그룹",2010,"댄스, 발라드","2019.08.27
곡재생 FLASH",,"한승우 , 김우석 , WOODZ , 김요한 , 한결(BAE173) , 차준호 , 손동표 , 민희 (CRAVITY) , 은상 , 형준 (CRAVITY) , 도현",2019.07.20,2020.01.06
호미들,대한민국,"남성, 그룹","2010,2020","랩/힙합, 인디음악, 댄스","2019.11.15
곡재생 REMEMBER",,"CK , Louie , Chin",,
이상순,대한민국,"남성, 솔로","1990,2000,2010,2020","발라드, 포크/블루스, 록/메탈","2018.03.04
곡재생 다시",1974.08.25,,,
Raiden,대한민국,"남성, 솔로","2010,2020","일렉트로니카, 댄스, 국내드라마",2017.01.13|Heart Of Steel (Feat. Bright Lights),1987.02.07,,,
존박,미국,"남성, 솔로","2000,2010,2020","발라드, 국내드라마, R&B/Soul","2010.12.17
곡재생 I`m Your Man",1988.09.13,,,
STAYC(스테이씨),대한민국,"여성, 그룹",2020,"댄스, R&B/Soul, POP","2020.11.12
곡재생 SO BAD",,"수민 (SUMIN) , 시은 (SIEUN) , 아이사 (ISA) , 세은 (SEEUN) , 윤 (YOON) , 재이 (J)",,
바이브,대한민국,"남성, 그룹","2000,2010,2020","발라드, R&B/Soul, 댄스","2002.02.01
곡재생 미워도 다시 한번 (Original Ver.)",,"윤민수(바이브) , 류재현",2002,
에릭남 (Eric Nam),미국,"남성, 솔로","2010,2020","발라드, 댄스, POP","2013.01.23
곡재생 천국의 문 (Heaven`s Door)",1988.11.17,,,
Kep1er (케플러),대한민국,"여성, 그룹",2020,"댄스, R&B/Soul, POP","2022.01.03
곡재생 WA DA DA",,"최유진 (Kep1er) , 샤오팅 (Kep1er) , 김채현 (Kep1er) , 김다연 (Kep1er) , 히카루 (Kep1er) , 휴닝바히에 (Kep1er)",2021.10.22,
카라,대한민국,"여성, 그룹","2000,2010,2020","댄스, 발라드, 국내드라마","2007.03.29
곡재생 Break It",,"박규리 (카라) , 한승연 , 구하라 (카라) , 허영지 (카라) , 니콜 , 강지영",2007,
휘인 (Whee In),대한민국,"여성, 솔로","2010,2020","발라드, R&B/Soul, 국내드라마",,1995.04.17,,,
NSW yoon,대한민국,"남성, 솔로",2020,"랩/힙합, 인디음악, 월드뮤직","2021.06.23
곡재생 PERIOD",,,,
MC몽,대한민국,"남성, 솔로","1990,2000,2010,2020","랩/힙합, 댄스, 발라드","2004.04.23
곡재생 180˚",,,,
윤민수(바이브),대한민국,"남성, 솔로","1990,2000,2010,2020","발라드, R&B/Soul, CCM","2006.12.22
곡재생 겨울이야기 (With 박정은 포맨)",1980.02.27,,,
린,대한민국,"여성, 솔로","2000,2010,2020","발라드, R&B/Soul, 국내드라마","2002.11.22
곡재생 사랑에 아파본 적 있나요",1981.11.09,,,
효린,대한민국,"여성, 솔로","2010,2020","발라드, 댄스, 국내드라마","2013.11.26
곡재생 너 밖에 몰라 (One Way Love)",1990.12.11,,,
이영현,대한민국,"여성, 솔로","2000,2010,2020","발라드, 국내드라마, 댄스","2009.10.29
곡재생 미안해, 사랑해서...",1981.12.25,,,
V,대한민국,"남성, 솔로","2010,2020","R&B/Soul, 국내드라마, 발라드",,1995.12.30,,,
WSG워너비(4FIRE),대한민국,"여성, 그룹",2020,"R&B/Soul, 발라드",,,"나비 (Navi) , SOLE (쏠) , 엄지윤 , 권진아",,
박봄 (Park Bom),대한민국,"여성, 솔로","2000,2010,2020","발라드, R&B/Soul, 댄스","2009.10.28
곡재생 YOU AND I",1984.03.24,,,
송하예,대한민국,"여성, 솔로","2010,2020","발라드, 국내드라마, 댄스","2014.08.08
곡재생 처음이야 (Feat. 수호)",1994.02.20,,,
뉴이스트,대한민국,"남성, 그룹","2010,2020","댄스, 발라드, R&B/Soul","2012.03.15
곡재생 FACE",,"김종현(JR) , 아론 , 백호 , 황민현 , 렌 (REN)",2012,2022
주호,대한민국,"남성, 솔로","2010,2020","발라드, 국내드라마, R&B/Soul",2016.02.16|못해준게 많아,1988.10.16,,,
송가인,대한민국,"여성, 솔로","2010,2020","성인가요/트로트, 발라드, 국내드라마","2012.10.12
곡재생 사랑가",1986.12.26,,,
2BIC(투빅),대한민국,"남성, 그룹","2010,2020","발라드, R&B/Soul, 국내드라마","2012.03
곡재생 또 한 여잘 울렸어",,"지환 (2BIC) , 준형 (2BIC)",2012.03.14,
빈첸,대한민국,"남성, 솔로","2010,2020","랩/힙합, 발라드","2018.05.09
곡재생 그대들은 어떤 기분이신가요",,,,
이소정,대한민국,"여성, 솔로","2010,2020","발라드, 국내드라마, R&B/Soul",,,,,
릴보이 (lIlBOI),대한민국,"남성, 솔로","2010,2020","랩/힙합, 국내드라마, 댄스","2018.12.07
곡재생 David",1991.06.07,,,
조정석,대한민국,"남성, 솔로","2000,2010,2020","국내드라마, 발라드, 포크/블루스","2015.08.28
곡재생 Gimme a Chocolate",1980.12.26,,,
헨리 (HENRY),캐나다,"남성, 솔로","2010,2020","발라드, 댄스, R&B/Soul","2013.06.07
곡재생 Trap (Feat. 규현&태민)",1989.10.11,,,
빅마마,대한민국,"여성, 그룹","2000,2010,2020","R&B/Soul, 발라드, 댄스","2003.02.06
곡재생 Break Away",,"신연아 , 이영현 , 박민혜 (빅마마) , 이지영 (빅마마)",2003,
펭수,대한민국,솔로,2020,"댄스, 랩/힙합","2020.04.21
곡재생 펭수로 하겠습니다",,,,
윤토벤,대한민국,"남성, 솔로","2010,2020","발라드, 인디음악, 댄스","2019.08.01
곡재생 서툰 이별을 하려해 (Feat.전상근)",1998.08.07,,,
거미 (GUMMY),대한민국,"여성, 솔로","2000,2010,2020","발라드, R&B/Soul, 국내드라마","2003.02.01
곡재생 그대 돌아오면..",1981.04.08,,,
Zion.T,대한민국,"남성, 솔로","2010,2020","R&B/Soul, 랩/힙합, 댄스","2011.04.29
곡재생 Click Me (Feat. Dok2)",1989.04.13,,,
정동하,대한민국,"남성, 솔로","2000,2010,2020","발라드, 록/메탈, 국내드라마","2014.10.08
곡재생 If I",1980.04.17,,,
김연지,대한민국,"여성, 솔로","2000,2010,2020","발라드, 국내드라마, 성인가요/트로트","2010.02.18
곡재생 우리 다시 만나요",1986.10.30,,,
지아,대한민국,"여성, 솔로","2000,2010,2020","발라드, 국내드라마, 댄스","2007.07.16
곡재생 물끄러미",1986.07.21,,,
개코,대한민국,"남성, 솔로","2000,2010,2020","랩/힙합, 국내드라마, R&B/Soul","2013.02.19
곡재생 될 대로 되라고 해 (느낌 So Good)",1981.01.14,,,
윤건,대한민국,"남성, 솔로","1990,2000,2010,2020","발라드, 국내드라마, R&B/Soul","2003.11.12
곡재생 어쩌다",,,,
Mudd the student,대한민국,"남성, 솔로","2010,2020","랩/힙합, 록/메탈, 인디음악",,,,,
솔지,대한민국,"여성, 솔로","2000,2010,2020","발라드, 국내드라마, 성인가요/트로트",2008.01.15|미워서 (Feat.수호),1989.01.10,,,
노윤하,대한민국,"남성, 솔로",2020,"랩/힙합, 국내영화",,,,,
런치,대한민국,"여성, 솔로","2010,2020","R&B/Soul, 인디음악, 랩/힙합","2019.09.22
곡재생 기억, 안녕 (feat. 오반)",,,,
이해리 (다비치),대한민국,"여성, 솔로","2000,2010,2020","발라드, 국내드라마, 댄스","2011.01
곡재생 그때 난 사는거야",1985.02.14,,,
아샤트리,대한민국,"여성, 그룹",2020,발라드,,,"방태연 , 문지원",,
환희,대한민국,"남성, 솔로","1990,2000,2010,2020","발라드, 성인가요/트로트, 국내드라마","2009.10.22
곡재생 심장을 놓쳐서",1982.01.17,,,
San E (산이),대한민국,"남성, 솔로","2000,2010,2020","랩/힙합, 댄스, 국내영화","2010.09.13
곡재생 맛좋은산 (Feat. Min)",1985.01.23,,,
IZ*ONE (아이즈원),대한민국,"여성, 그룹","2010,2020","댄스, 발라드, 성인가요/트로트",2018.10.29|라비앙로즈 (La Vie en Rose),,"장원영 (IVE) , 사쿠라 , 조유리 , YENA (최예나) , 안유진 (IVE) , 야부키 나코 , 권은비 , 강혜원 , 히토미 (HITOMI) , 김채원 , 김민주 , 이채연",,2021.04
"허용별 (허각, 신용재, 임한별)",대한민국,"남성, 그룹",2020,"발라드, 록/메탈","2023.09.10
곡재생 Happiness",,"허각 , 신용재 (2F) , 임한별",,
보이비,대한민국,"남성, 솔로","2000,2010,2020","랩/힙합, 국내드라마, 인디음악",,1986.09.04,,,
윤미래,미국,"여성, 솔로","1990,2000,2010,2020","랩/힙합, R&B/Soul, 발라드","2001.09.10
곡재생 시간이 흐른 뒤 (As Time Goes By)",1981.05.31,,,
제시 (Jessi),미국,"여성, 솔로","2000,2010,2020","랩/힙합, 발라드, R&B/Soul","2005.12.01
곡재생 Get Up",1988.12.17,,,
염따,대한민국,"남성, 솔로","2010,2020","랩/힙합, 국내드라마, 댄스","2006.09.11
곡재생 ㅇ.ㅕ.ㅁ.ㄷ.ㄷ.ㅏ (Feat.P&Q)",1984.04.20,,,
V.O.S,대한민국,"남성, 그룹","2000,2010,2020","발라드, R&B/Soul, 댄스","2004.04.12
곡재생 소중한 사람을 위해",,"김경록 (V.O.S) , 최현준 (V.O.S) , 박지헌",,
혁오 (HYUKOH),대한민국,"남성, 그룹","2010,2020","록/메탈, 인디음악, 발라드","2014.09.18
곡재생 위잉위잉",,"오혁 , 이인우 , 임동건 , 임현제",,
미도와 파라솔,대한민국,"혼성, 그룹",2020,"국내드라마, 록/메탈, 발라드",,,"조정석 , 유연석 , 정경호 , 김대명 , 전미도",,
정은지,대한민국,"여성, 솔로","2010,2020","발라드, 댄스, 국내드라마","2016.04.18
곡재생 하늘바라기 (Feat. 하림)",1993.08.18,,,
2am,대한민국,"남성, 그룹","2000,2010,2020","발라드, 댄스, R&B/Soul","2008.07.11
곡재생 이노래",,"조권 , 이창민 , 임슬옹 , 정진운",2008,
우원재,대한민국,"남성, 솔로","2010,2020","랩/힙합, 국내드라마, R&B/Soul","2017.09.04
곡재생 시차 (We Are) (Feat. 로꼬 & GRAY)",1996.12.23,,,
권은비,대한민국,"여성, 솔로","2010,2020","댄스, R&B/Soul, 국내드라마",,1995.09.27,,,
MSG워너비(M.O.M),대한민국,"남성, 그룹",2020,발라드,,,"별루지 , 강창모 , 박재정 , 원슈타인",,
2PM,대한민국,"남성, 그룹","2000,2010,2020","댄스, 발라드, R&B/Soul","2008.09.04
곡재생 10점 만점에 10점",,"닉쿤 (2PM) , 택연 , 장우영 , 이준호 , 찬성 , 준케이 (JUN. K)",2008.08.29,
엠씨더맥스 (M.C the MAX),대한민국,"남성, 그룹","2000,2010,2020","발라드, 록/메탈, 국내드라마","2002.11.01
곡재생 잠시만 안녕 (Pop Ver.)",,"이수 (엠씨더맥스) , 전민혁 , J. Yoon",2002,
이예준,대한민국,"여성, 솔로","2010,2020","발라드, 국내드라마, 댄스",2014.01.07|난 못 해,1988.10.08,,,
김재환,대한민국,"남성, 솔로","2010,2020","발라드, 국내드라마, R&B/Soul","2019.05.20
곡재생 안녕하세요",1996.05.27,,,
소녀시대 (GIRLS' GENERATION),대한민국,"여성, 그룹","2000,2010,2020","댄스, 발라드, 일렉트로니카","2007.08.05
곡재생 다시 만난 세계 (Into The New World)",,"태연 (TAEYEON) , 써니 (SUNNY) , 유리 (YURI) , 수영 (SOOYOUNG) , Tiffany Young , 서현 (SEOHYUN) , 윤아 (YOONA) , 효연 (HYOYEON)",2007,
태양,대한민국,"남성, 솔로","2000,2010,2020","R&B/Soul, 댄스, 발라드","2008.05.22
곡재생 나만 바라봐",1988.05.18,,,
마미손,대한민국,"남성, 솔로","2010,2020","랩/힙합, 발라드, 댄스",2018.11.10|소년점프 (Feat. 배기성),,,,
주시크 (Joosiq),대한민국,"남성, 솔로",2020,"R&B/Soul, 인디음악, 랩/힙합",,,,,
WSG워너비 (가야G),대한민국,"여성, 그룹",2020,발라드,,,"이보람 (씨야) , 정소연 (Jung Soyeon) , HYNN (박혜원) , 정지소",,
신용재 (2F),대한민국,"남성, 솔로","2000,2010,2020","발라드, 국내드라마, R&B/Soul","2012.07.27
곡재생 가수가 된 이유",,,,
NCT 도재정,대한민국,"남성, 그룹",2020,"R&B/Soul, 일렉트로니카, 발라드",,,"도영 (DOYOUNG) , 재현 (JAEHYUN) , 정우 (JUNGWOO)",,
던 (DAWN),대한민국,"남성, 솔로","2010,2020","R&B/Soul, 발라드, 랩/힙합",,,,,
라비 (RAVI),대한민국,"남성, 솔로","2010,2020","랩/힙합, 발라드, 댄스",2017.01.09|BOMB (Feat. San E),1993.02.15,,,
선예,대한민국,"여성, 솔로","2000,2010,2020","발라드, 국내드라마, CCM","2007.07
곡재생 일월지가 (日月之歌)",1989.08.12,,,
PATEKO (파테코),대한민국,"남성, 솔로","2010,2020","인디음악, 랩/힙합, 록/메탈","2020.07.19|Rainy day (Feat. ASH ISLAND, Skinny Brown)",,,,
순순희(기태),대한민국,"남성, 솔로","2010,2020","발라드, 인디음악, 국내드라마","2023.01.23
곡재생 그대가 내 안에 박혔다(그내박)",,,,
청하,대한민국,"여성, 솔로","2010,2020","댄스, 발라드, 국내드라마","2017.04.21
곡재생 월화수목금토일",1996.02.09,,,
이석훈,대한민국,"남성, 솔로","2000,2010,2020","발라드, 국내드라마, 댄스","2010.04.22
곡재생 정거장",1984.02.21,,,
케이시 (Kassy),대한민국,"여성, 솔로","2010,2020","발라드, 국내드라마, R&B/Soul","2015.08.25
곡재생 침대 위에서",1995.10.06,,,
Say Yes!,,"남성, 그룹",2020,댄스,,,,,
조광일,대한민국,"남성, 솔로","2010,2020","랩/힙합, 국내드라마, 인디음악","2019.10.29
곡재생 Grow back (Feat. Brown tigger)",,,,
보라미유,대한민국,"여성, 솔로","2010,2020","발라드, 인디음악, 국내드라마","2018.11.21
곡재생 널 싫어하고 싶어",,,,
베이식 (Basick),대한민국,"남성, 솔로","2000,2010,2020","랩/힙합, 인디음악, 국내드라마",2008.03.18|Better Than The Best,1986.08.12,,,
장혜진,대한민국,"여성, 솔로","1990,2000,2010,2020","발라드, 국내드라마, 댄스","1991.09.01
곡재생 이젠",1965.05.15,,,
찬열 (CHANYEOL),대한민국,"남성, 솔로","2010,2020","발라드, 록/메탈, 국내영화",,1992.11.27,,,
강민경 (다비치),대한민국,"여성, 솔로","2000,2010,2020","발라드, 국내드라마, 댄스","2012.08
곡재생 이별이 온다",1990.08.03,,,
SHINee (샤이니),대한민국,"남성, 그룹","2000,2010,2020","댄스, 발라드, R&B/Soul","2008.05.25
곡재생 누난 너무 예뻐",,"종현 (JONGHYUN) , 키 (KEY) , 태민 (TAEMIN) , 온유 (ONEW) , 민호 (MINHO)",2008,
블루 (BLOO),대한민국,"남성, 솔로","2010,2020","랩/힙합, 인디음악, 국내드라마","2016.06.18
곡재생 Drive Thru",,,,
ASH ISLAND,대한민국,"남성, 솔로","2010,2020","랩/힙합, R&B/Soul, 록/메탈","2018.11.12
곡재생 How R U",,,,
시온,독일,"남성, 솔로",2020,"R&B/Soul, 발라드, 국내드라마","2022.07.23
곡재생 comedy",,,,
유림,대한민국,"여성, 솔로",2020,발라드,2022.11.13|추억때문에,2000.01.19,,,
KCM,대한민국,"남성, 솔로","2000,2010,2020","발라드, 국내드라마, 댄스","2004.09.07
곡재생 흑백사진",1982.01.26,,,
Red Velvet (레드벨벳),대한민국,"여성, 그룹","2010,2020","댄스, R&B/Soul, 발라드","2014.08.01
곡재생 행복 (Happiness)",,"웬디 (WENDY) , 아이린 (IRENE) , 슬기 (SEULGI) , 조이 (JOY) , 예리 (YERI)",2014.08.01,
환불원정대,대한민국,"여성, 그룹",2020,댄스,2020.10.10|DON'T TOUCH ME,,"만옥 , 천옥 , 은비 , 실비",,
HYNN (박혜원),대한민국,"여성, 솔로","2010,2020","발라드, 국내드라마, 록/메탈","2018.12.28
곡재생 LET ME OUT",1998.01.15,,,
라붐 (LABOUM),대한민국,"여성, 그룹","2010,2020","댄스, 발라드, 국내드라마",2014.08.28|두근두근,,"솔빈 (LABOUM) , 정소연 (Jung Soyeon) , 진예 (LABOUM) , 해인 (LABOUM)",,
BE'O (비오),대한민국,"남성, 솔로","2010,2020","랩/힙합, R&B/Soul, 댄스","2020.09.05
곡재생 That's Wolf",,,,
Yyeon,대한민국,"남성, 솔로",2020,"인디음악, R&B/Soul, 랩/힙합","2022.12.23
곡재생 이제 우리 꿈에서만 만나",,,,
영탁,대한민국,"남성, 솔로","2000,2010,2020","성인가요/트로트, 발라드, 국내드라마","2007.03.05
곡재생 사랑한다",,,,
적재,대한민국,"남성, 솔로","2010,2020","록/메탈, 발라드, 국내드라마","2014.11.10
곡재생 다시",1989.01.26,,,
김대명,대한민국,"남성, 솔로","2010,2020","국내드라마, 발라드, 록/메탈",,,,,
