아티스트명,국적,활동장르,데뷔,멤버,성별,구성
로제 (ROSÉ),대한민국,"록/메탈, POP, 발라드",2021.03.12,,여성,솔로
aespa,대한민국,"댄스, 일렉트로니카, R&B/Soul",2020.11.17,"카리나 (KARINA), 지젤 (GISELLE), 윈터 (WINTER), 닝닝 (NINGNING)",여성,그룹
제니 (JENNIE),대한민국,"댄스, 국외드라마, POP",2018.11.12,,여성,솔로
DAY6 (데이식스),대한민국,"록/메탈, 댄스, 발라드",2015.09.07,"성진 (DAY6), Young K (DAY6), 원필 (DAY6), 도운 (DAY6)",남성,그룹
G-DRAGON,대한민국,"댄스, 랩/힙합, 발라드",2009.08.18,,남성,솔로
QWER,대한민국,"록/메탈, 일렉트로니카, 발라드",2023.10.18,"쵸단, 마젠타, 히나, 시연",여성,그룹
AKMU (악뮤),대한민국,"댄스, 포크/블루스, 발라드",2014.04.07,"이찬혁, 이수현",혼성,그룹
프로미스나인,대한민국,"댄스, 발라드, 국내드라마",2018.01.24,"송하영 (프로미스나인), 이채영 (프로미스나인), 이나경 (프로미스나인), 박지원 (프로미스나인), 백지헌 (프로미스나인)",여성,그룹
로이킴,대한민국,"발라드, 국내드라마, 포크/블루스",2013.04.22,,남성,솔로
이클립스 (ECLIPSE),대한민국,"국내드라마, 록/메탈, 발라드",2024.04,,남성,그룹
NewJeans,대한민국,"댄스, 국내드라마, 발라드",2022.07.22,"민지(MINJI), 하니(HANNI), 다니엘(DANIELLE), 해린(HAERIN), 혜인(HYEIN)",여성,그룹
이창섭,대한민국,"발라드, 국내드라마, 록/메탈",2018.12.11,,남성,솔로
이영지,대한민국,"랩/힙합, POP, 국내드라마",2019.11.02,,여성,솔로
i-dle (아이들),대한민국,"댄스, POP, 록/메탈",2018.05.02,"소연 (SOYEON), 미연 (MIYEON), 우기 (YUQI), 슈화 (SHUHUA), 민니 (MINNIE)",여성,그룹
순순희(지환),대한민국,"발라드, 인디음악, 랩/힙합",2018.04.17,,남성,솔로
KISS OF LIFE,대한민국,"댄스, R&B/Soul, 발라드",2023.07.05,"쥴리 (KISS OF LIFE), 나띠 (KISS OF LIFE), 벨 (KISS OF LIFE), 하늘 (KISS OF LIFE)",여성,그룹
TWS (투어스),대한민국,"댄스, 국내드라마, 발라드",2024.01.22,"신유, 도훈, 영재 (TWS), 한진, 지훈, 경민",남성,그룹
아이유,대한민국,"발라드, 댄스, 록/메탈",2008.09.18,,여성,솔로
아일릿(ILLIT),대한민국,"댄스, POP, 애니메이션/웹툰",2024.03.25,"윤아, 민주 (아일릿(ILLIT)), 모카, 원희 (아일릿(ILLIT)), 이로하",여성,그룹
너드커넥션 (Nerd Connection),대한민국,"록/메탈, 인디음악, 국내드라마",2018.08.14,"박재현, 서영주 of 너드커넥션, 신연태, 최승원",남성,그룹
잔나비,대한민국,"록/메탈, 인디음악, 국내드라마",2014.04.28,"잔나비 최정훈, 잔나비 김도형",남성,그룹
성시경,대한민국,"발라드, 국내드라마, 댄스",2000.10.17,,남성,솔로
이무진,대한민국,"발라드, 록/메탈, 국내드라마",2021.05.14,,남성,솔로
PLAVE,대한민국,"록/메탈, 발라드, R&B/Soul",2023.03.12,"노아, 밤비, 예준, 은호, 하민",남성,그룹
임영웅,대한민국,"성인가요/트로트, 발라드, 댄스",2016.08.08,,남성,솔로
박재정,대한민국,"발라드, 국내드라마, 록/메탈",2013.11.20,,남성,솔로
임재현,대한민국,"발라드, 인디음악, 국내드라마",2018.09.25,,남성,솔로
세븐틴 (SEVENTEEN),대한민국,"댄스, 발라드, 랩/힙합",2015.05.26,"S.COUPS, 정한, 조슈아, 준, 호시, 원우, 도겸, 민규, 디에잇, 승관, Vernon, 디노, WOOZI",남성,그룹
경서예지,대한민국,"발라드, 록/메탈, 포크/블루스",2020.04.12,"경서 (경서예지), 전예지 (경서예지)",여성,그룹
폴킴,대한민국,"발라드, R&B/Soul, 국내드라마",2014.01.21,,남성,솔로
IVE (아이브),대한민국,"댄스, 발라드, R&B/Soul",2021.12.01,"안유진 (IVE), 가을 (IVE), 레이 (IVE), 장원영 (IVE), 리즈 (IVE), 이서 (IVE)",여성,그룹
Crush,대한민국,"R&B/Soul, 발라드, 댄스",2012.12.07,,남성,솔로
지코 (ZICO),대한민국,"랩/힙합, 발라드, 국내드라마",2014.11.07,,남성,솔로
범진,대한민국,"발라드, 인디음악, 국내드라마",2019.05.25,,남성,솔로
NMIXX,대한민국,"댄스, 애니메이션/웹툰, 월드뮤직",2022.02.22,"릴리 (NMIXX), 해원 (NMIXX), 설윤 (NMIXX), 배이 (NMIXX), 지우 (NMIXX), 규진 (NMIXX)",여성,그룹
WOODZ,대한민국,"댄스, R&B/Soul, 록/메탈",2016.07.29,,남성,솔로
정국,대한민국,"댄스, POP, 발라드",2013.06.12,,남성,솔로
김민석 (멜로망스),대한민국,"발라드, 국내드라마, 인디음악",2018.12.18,,남성,솔로
멜로망스,대한민국,"발라드, 국내드라마, 인디음악",2015.03.10,"정동환 (멜로망스), 김민석 (멜로망스)",남성,그룹
태연 (TAEYEON),대한민국,"발라드, R&B/Soul, 댄스",2015.10.07,,여성,솔로
RIIZE,대한민국,"댄스, R&B/Soul, 일렉트로니카",2023.09.04,"쇼타로 (SHOTARO), 은석 (EUNSEOK), 성찬 (SUNGCHAN), 원빈 (WONBIN), 소희 (SOHEE), 앤톤 (ANTON)",남성,그룹
윤하 (YOUNHA),대한민국,"발라드, 록/메탈, 국내드라마",2004.09.01,,여성,솔로
부석순 (SEVENTEEN),대한민국,"댄스, 국내드라마, 발라드",2018.03.21,"도겸, 승관, 호시",남성,그룹
우디 (Woody),대한민국,"발라드, R&B/Soul, 국내드라마",2019.01.23,,남성,솔로
황인욱,대한민국,"발라드, 국내드라마, R&B/Soul",2017.07.28,,남성,솔로
허각,대한민국,"발라드, 국내드라마, 댄스",2010.11.04,,남성,솔로
방탄소년단,대한민국,"랩/힙합, 댄스, POP",2013.06.13,"RM, SUGA, 진, j-hope, 지민, V, 정국",남성,그룹
황가람,대한민국,"발라드, 국내드라마, 애니메이션/웹툰",2021.01.16,,남성,솔로
LE SSERAFIM (르세라핌),대한민국,"댄스, 랩/힙합, R&B/Soul",2022.05.02,"김채원, 사쿠라, 허윤진, 카즈하, 홍은채",여성,그룹
MEOVV (미야오),대한민국,"랩/힙합, R&B/Soul, 댄스",2024.09.06,"수인 (SOOIN), 가원 (GAWON), 안나 (ANNA), 나린 (NARIN), 엘라 (ELLA)",여성,그룹
YENA (최예나),대한민국,"댄스, 록/메탈, R&B/Soul",2022.01.17,,여성,솔로
비비 (BIBI),대한민국,"R&B/Soul, 발라드, 국내드라마",2019.05.15,,여성,솔로
카더가든,대한민국,"발라드, 록/메탈, 국내드라마",2013.09.24,,남성,솔로
최유리,대한민국,"발라드, 인디음악, 포크/블루스",2020.02.24,,여성,솔로
비투비,대한민국,"댄스, 발라드, 국내드라마",2012.03.21,"서은광 (비투비), 이민혁 (허타), 이창섭, 임현식 (비투비), 프니엘 (비투비), 육성재",남성,그룹
BABYMONSTER,대한민국,"댄스, R&B/Soul, 랩/힙합",2024.04.01,"루카(RUKA), 파리타(PHARITA), 아사(ASA), 아현(AHYEON), 라미(RAMI), 로라(RORA), 치키타(CHIQUITA)",여성,그룹
재쓰비 (JAESSBEE),대한민국,"댄스, 국내드라마",2024.11.11,,혼성,그룹
EXO,대한민국,"댄스, 발라드, R&B/Soul",2012.04.08,"카이 (KAI), 첸 (CHEN), 세훈 (SEHUN), 레이 (LAY), 시우민 (XIUMIN), 백현 (BAEKHYUN), 도경수(D.O.), 수호 (SUHO), 찬열 (CHANYEOL)",남성,그룹
SG 워너비,대한민국,"발라드, R&B/Soul, 국내드라마",2004.01.20,"김진호 (SG워너비), 김용준, 이석훈",남성,그룹
순순희,대한민국,"발라드, 인디음악, 국내드라마",2018.04.17,"순순희(기태), 미러볼 (김부성), 순순희(지환)",남성,그룹
정승환,대한민국,"발라드, 국내드라마, 댄스",2016.11.29,,남성,솔로
박효신,대한민국,"발라드, R&B/Soul, 댄스",1999.11.04,,남성,솔로
TWICE (트와이스),대한민국,"댄스, 발라드, R&B/Soul",2015.10.20,"나연 (TWICE), 정연, 모모, 사나, 지효 (TWICE), 미나, 다현, 채영 (TWICE), 쯔위 (TWICE)",여성,그룹
BOYNEXTDOOR,대한민국,"댄스, 랩/힙합, R&B/Soul",2023.05.30,"성호, 리우, 명재현, 태산, 이한, 운학",남성,그룹
BIGBANG (빅뱅),대한민국,"랩/힙합, 댄스, 발라드",2006.08.19,"태양, G-DRAGON, 대성, T.O.P",남성,그룹
마크툽 (MAKTUB),대한민국,"R&B/Soul, 인디음악, 발라드",2011.09.21,,남성,솔로
여자친구 (GFRIEND),대한민국,"댄스, 발라드, 국내드라마",2015.01.16,"소원 (여자친구), 예린 (YERIN), 은하 (EUNHA), 유주 (YUJU), 신비 (SINB), 엄지 (UMJI)",여성,그룹
김보경 (NEON),대한민국,"발라드, 록/메탈, 국내드라마",2010.11.16,,여성,솔로
조째즈,대한민국,"발라드, 국내드라마, 성인가요/트로트",2025.01.07,,남성,솔로
지수 (JISOO),대한민국,"댄스, POP",2023.03.31,,여성,솔로
KiiiKiii (키키),대한민국,"댄스, 랩/힙합, R&B/Soul",2024.03.24,"지유 (KiiiKiii), 이솔 (KiiiKiii), 수이 (KiiiKiii), 하음 (KiiiKiii), 키야 (KiiiKiii)",여성,그룹
Hearts2Hearts (하츠투하츠),대한민국,"일렉트로니카, 댄스, R&B/Soul",2025.02.24,"지우 (JIWOO), 카르멘 (CARMEN), 유하 (YUHA), 스텔라 (STELLA), 주은 (JUUN), 에이나 (A-NA), 이안 (IAN), 예온 (YE-ON)",여성,그룹
10CM,대한민국,"포크/블루스, 인디음악, 발라드",2010.04.22,권정열,남성,솔로
j-hope,대한민국,"랩/힙합, R&B/Soul, 댄스",2022.07.15,,남성,솔로
오반(OVAN),대한민국,"랩/힙합, 인디음악, R&B/Soul",2017.03.02,,남성,솔로
이예은,대한민국,발라드,2022.08.13,,여성,솔로
송필근,대한민국,"발라드, 포크/블루스, 록/메탈",2014.11.28,,남성,솔로
HIGH4 (하이포),대한민국,"댄스, 발라드, R&B/Soul",2014.04.08,"김윤오, 백명한, 임영준 (하이포), 알렉스 (하이포)",남성,그룹
버스커 버스커,대한민국,"록/메탈, 발라드, 댄스",2012.03.29,"장범준, 브래드, 형태",남성,그룹
RESCENE (리센느),대한민국,"댄스, R&B/Soul, 국내드라마",2024.03.26,"원이 (WONI), 리브 (LIV), 미나미 (MINAMI), 메이 (MAY), 제나 (ZENA)",여성,그룹
로꼬,대한민국,"랩/힙합, 국내드라마, 댄스",2012.09.04,,남성,솔로
NCT WISH,대한민국,"댄스, 애니메이션/웹툰, 키즈",2024.02.21,"시온 (SION), 유우시 (YUSHI), 리쿠 (RIKU), 재희 (JAEHEE), 료 (RYO), 사쿠야 (SAKUYA)",남성,그룹
마크 (MARK),캐나다,"랩/힙합, R&B/Soul, 발라드",2017.04.01,,남성,솔로
현서 (HYUN SEO),대한민국,"R&B/Soul, 인디음악, 랩/힙합",2021.10.28,,남성,솔로
투모로우바이투게더,대한민국,"댄스, 록/메탈, 국내드라마",2019.03.04,"수빈, 연준, 범규, 태현, 휴닝카이",남성,그룹
도경수(D.O.),대한민국,"발라드, 포크/블루스, 국내드라마",2021.07.26,,남성,솔로
마틴스미스,대한민국,"발라드, 국내드라마, 인디음악",2016.05.13,"Neat , eldon",남성,그룹
엔플라잉 (N.Flying),대한민국,"록/메탈, 국내드라마, 댄스",2015.05.20,"이승협 (J.DON), 차훈 (엔플라잉), 김재현, 유회승 (엔플라잉), 서동성",남성,그룹
데이먼스 이어 (Damons year),대한민국,"인디음악, 록/메탈, 발라드",2017.05.25,,남성,솔로
ALLDAY PROJECT,대한민국,"랩/힙합, 댄스",2025.06.23,"ANNIE, TARZZAN, BAILEY, WOOCHAN, YOUNGSEO",혼성,그룹
FIFTY FIFTY,대한민국,"댄스, POP, 키즈",2022.11.18,"키나, 문샤넬, 예원, 하나, 아테나",여성,그룹
BLACKPINK,대한민국,"댄스, 랩/힙합, POP",2016.08.08,"지수 (JISOO), 제니 (JENNIE), 로제 (ROSÉ), 리사 (LISA)",여성,그룹
H1-KEY (하이키),대한민국,"댄스, 국내드라마, R&B/Soul",2022.01.05,"서이 (하이키), 리이나 (하이키), 옐 (하이키), 휘서 (하이키)",여성,그룹
NCT DREAM,대한민국,"댄스, R&B/Soul, 랩/힙합",2016.08.25,"천러 (CHENLE), 런쥔 (RENJUN), 재민 (JAEMIN), 지성 (JISUNG), 제노 (JENO), 해찬 (HAECHAN), 마크 (MARK)",남성,그룹
거북이,대한민국,"댄스, 랩/힙합, 발라드",2001.12.20,"금비, 이강,지이",혼성,그룹
먼데이 키즈,대한민국,"발라드, 국내드라마, R&B/Soul",2005.11.03,이진성 (먼데이 키즈),남성,솔로
이찬혁,대한민국,"댄스, 록/메탈, 발라드",2022.10.17,,남성,솔로
박다혜,대한민국,"발라드, 애니메이션/웹툰, R&B/Soul",2015.06.16,,여성,솔로
임창정,대한민국,"발라드, 댄스, 국내드라마",1995.04.01,,남성,솔로
DK(디셈버),대한민국,"발라드, 국내드라마, 록/메탈",2009.10.27,,남성,솔로
CORTIS (코르티스),대한민국,"댄스, 랩/힙합, R&B/Soul",2025.08.18,"마틴, 제임스, 주훈, 성현, 건호",남성,그룹
다영 (DAYOUNG),대한민국,"댄스, 국내드라마, 발라드",2025.09.09,,여성,솔로
브라운 아이드 소울,대한민국,"R&B/Soul, 발라드, 국내드라마",2003.09.17,"나얼, 정엽, 영준",남성,그룹
다비치,대한민국,"발라드, 국내드라마, 댄스",2008.02.22,"강민경 (다비치), 이해리 (다비치)",여성,그룹
화사 (HWASA),대한민국,"댄스, R&B/Soul, 발라드",2019.02.13,,여성,솔로
한로로,대한민국,"록/메탈, 인디음악, 국내드라마",2022.03.14,,여성,솔로
BIG Naughty (서동현),대한민국,"랩/힙합, R&B/Soul, 국내드라마",2019.11.21,,남성,솔로
AOA,대한민국,"댄스, 발라드, 일렉트로니카",2012.07.30,"설현 (AOA), 혜정 (AOA), 도화 (AOA)",여성,그룹
나윤권,대한민국,"발라드, 국내드라마, 댄스",2004.09.13,,남성,솔로
이보람 (씨야),대한민국,"발라드, 국내드라마, R&B/Soul",2017.01.17,,여성,솔로
김태리,대한민국,"국내영화, 국내드라마, 발라드",2016.08.25,,여성,솔로
닐로(Nilo),대한민국,발라드,2015.09.14,,남성,솔로
레드벨벳-아이린&슬기,대한민국,"댄스, R&B/Soul, 일렉트로니카",2020.07.06,"아이린 (IRENE) , 슬기 (SEULGI)",여성,그룹
양요섭,대한민국,"발라드, 국내드라마, R&B/Soul",2012.11.26,,남성,솔로
유아 (오마이걸),대한민국,"댄스, 발라드, 국내드라마",2020.09.07,,여성,솔로
포맨 (4MEN),대한민국,"발라드, R&B/Soul, 국내드라마",1998.02.01,"윤요셉 , 하은 (포맨) , 한빈 (포맨)",남성,그룹
신예영,대한민국,"발라드, 국내드라마, 록/메탈",2019.11.20,,여성,솔로
규현 (KYUHYUN),대한민국,"발라드, 국내드라마, 댄스",2014.11.13,,남성,솔로
가비엔제이,대한민국,"발라드, R&B/Soul, 댄스",2005.11.11,"나예 (가비엔제이) , 루안 (가비엔제이) , 리엘 (가비엔제이) , 예잔 (가비엔제이)",여성,그룹
창모 (CHANGMO),대한민국,"랩/힙합, 국내드라마, 댄스",2014.06.10,,남성,솔로
조이 (JOY),대한민국,"발라드, 국내드라마, 댄스",2017,,여성,솔로
XIA (준수),대한민국,"발라드, 댄스, 국내드라마",2012.05.15,,남성,솔로
곽진언,대한민국,"발라드, 국내드라마, 포크/블루스",2016.05.10,,남성,솔로
"싹쓰리 (유두래곤, 린다G, 비룡)",대한민국,댄스,2020.07.11,"유두래곤 , 린다G , 비룡",혼성,그룹
LUCY,대한민국,"록/메탈, 국내드라마, 애니메이션/웹툰",2020.05.08,"신예찬 , 최상엽 , 조원상 , 신광일",남성,그룹
WSG워너비 조별경연 (대청봉),대한민국,발라드,2022.05.28,,여성,그룹
노아주다 (noahjooda),대한민국,"랩/힙합, 인디음악, R&B/Soul",2019.01.29,,남성,솔로
브라운아이드걸스,대한민국,"댄스, 발라드, R&B/Soul",2006.03.02,"제아 , 나르샤 (Brown Eyed Girls) , 미료 , 가인",여성,그룹
허성현 (rosy),대한민국,"랩/힙합, 인디음악, R&B/Soul",2019.10.15,,남성,솔로
몬스타엑스,대한민국,"댄스, 랩/힙합, POP",2015.05.14,"주헌 (몬스타엑스) , 셔누 (몬스타엑스) , 기현 (몬스타엑스) , 형원 (몬스타엑스) , 민혁 (몬스타엑스) , I.M (아이엠)",남성,그룹
하동균,대한민국,"발라드, 국내드라마, 록/메탈",2006.06.09,,남성,솔로
ZEROBASEONE (제로베이스원),대한민국,"댄스, R&B/Soul, 국내드라마",2023.07.10,"성한빈 (ZEROBASEONE) , 김지웅 (ZEROBASEONE) , 석매튜 (ZEROBASEONE) , 김태래 (ZEROBASEONE) , 박건욱 (ZEROBASEONE)",남성,그룹
Sondia,대한민국,"국내드라마, 발라드, 록/메탈",2016.08.11,,여성,솔로
MINO (송민호),대한민국,"댄스, 발라드, 랩/힙합",2014.08.17,"강승윤 , JINU (김진우) , MINO (송민호) , 이승훈",남성,그룹
NC.A,대한민국,"발라드, 댄스, 국내드라마",2013.08.12,,여성,솔로
윤딴딴,대한민국,"포크/블루스, 인디음악, 국내드라마",2014.02.14,,남성,솔로
민니 (MINNIE),타이 왕국,"국내드라마, 발라드, POP",2025.01.21,,여성,솔로
Apink (에이핑크),대한민국,"댄스, 발라드, POP",2011.04.19,"정은지 , 박초롱 (에이핑크) , 오하영 (에이핑크) , 김남주 (에이핑크) , 윤보미 (에이핑크)",여성,그룹
김진표,대한민국,"랩/힙합, 국내드라마, 발라드",1997.06.01,,남성,솔로
이수 (엠씨더맥스),대한민국,"발라드, 국내드라마, 국내영화",2008.04.15,,남성,솔로
tripleS (트리플에스),대한민국,"댄스, R&B/Soul, 국내드라마",2023.02.13,"윤서연 , 정혜린 , 이지우 , 김채연 , 김유연 , 김수민 , 김나경 , 공유빈 , 카에데 , 서다현 , 니엔 , 박소현 , 신위 , 마유 , 코토네 , 곽연지 , 린 , 주빈 , 정하연 , 박시온 , 김채원 , 설린 , 서아 , 지연",여성,그룹
한동근,대한민국,"발라드, 국내드라마, 댄스",2014.09.30,,남성,솔로
황치열,대한민국,"발라드, 국내드라마, 댄스",2007.02.12,,남성,솔로
이승윤,대한민국,"록/메탈, 인디음악, 국내드라마",2013.05.07,,남성,솔로
하이라이트 (HIGHLIGHT),대한민국,"댄스, 발라드, R&B/Soul",2017.03.20,"윤두준 , 양요섭 , 이기광 , 손동운",남성,그룹
정경호,대한민국,"국내드라마, 발라드, 록/메탈",2004.12.24,,남성,솔로
죠지,대한민국,"R&B/Soul, 발라드, 국내드라마",2016.03.16,,남성,솔로
미연 (MIYEON),대한민국,"국내드라마, 발라드, 댄스",2022.04.27,,여성,솔로
#안녕,대한민국,"발라드, 인디음악, 국내드라마",2016.08.18,,남성,솔로
GOT the beat,대한민국,댄스,2022.01.03,"보아 (BoA) , 태연 (TAEYEON) , 효연 (HYOYEON) , 슬기 (SEULGI) , 웬디 (WENDY) , 카리나 (KARINA) , 윈터 (WINTER)",여성,그룹
잠골버스,대한민국,"발라드, 인디음악, 록/메탈",2020.01.28,"잠골버스(준헌) , 김용 , 정일호 , 정윤섭",남성,그룹
길구봉구,대한민국,"발라드, 국내드라마, 댄스",2013.04.01,"봉구 (길구봉구) , 길구 (길구봉구)",남성,그룹
세훈&찬열,대한민국,"랩/힙합, 일렉트로니카",2019.07.22,"세훈 (SEHUN) , 찬열 (CHANYEOL)",남성,그룹
오마이걸 (OH MY GIRL),대한민국,"댄스, 발라드, POP",2015.04.20,"효정 (오마이걸) , 미미 (오마이걸) , 유아 (오마이걸) , 승희 (오마이걸) , 유빈 (오마이걸) , 아린 (오마이걸)",여성,그룹
씨야,대한민국,"발라드, 댄스, 국내영화",2006.03.12,"남규리 , 김연지 , 이보람 (씨야)",여성,그룹
X1 (엑스원),대한민국,"댄스, 발라드",2019.08.27,"한승우 , 김우석 , WOODZ , 김요한 , 한결(BAE173) , 차준호 , 손동표 , 민희 (CRAVITY) , 은상 , 형준 (CRAVITY) , 도현",남성,그룹
호미들,대한민국,"랩/힙합, 인디음악, 댄스",2019.11.15,"CK , Louie , Chin",남성,그룹
이상순,대한민국,"발라드, 포크/블루스, 록/메탈",2018.03.04,,남성,솔로
Raiden,대한민국,"일렉트로니카, 댄스, 국내드라마",2017.01.13,,남성,솔로
존박,미국,"발라드, 국내드라마, R&B/Soul",2010.12.17,,남성,솔로
STAYC(스테이씨),대한민국,"댄스, R&B/Soul, POP",2020.11.12,"수민 (SUMIN) , 시은 (SIEUN) , 아이사 (ISA) , 세은 (SEEUN) , 윤 (YOON) , 재이 (J)",여성,그룹
바이브,대한민국,"발라드, R&B/Soul, 댄스",2002.02.01,"윤민수(바이브) , 류재현",남성,그룹
에릭남 (Eric Nam),미국,"발라드, 댄스, POP",2013.01.23,,남성,솔로
Kep1er (케플러),대한민국,"댄스, R&B/Soul, POP",2022.01.03,"최유진 (Kep1er) , 샤오팅 (Kep1er) , 김채현 (Kep1er) , 김다연 (Kep1er) , 히카루 (Kep1er) , 휴닝바히에 (Kep1er)",여성,그룹
카라,대한민국,"댄스, 발라드, 국내드라마",2007.03.29,"박규리 (카라) , 한승연 , 구하라 (카라) , 허영지 (카라) , 니콜 , 강지영",여성,그룹
휘인 (Whee In),대한민국,"발라드, R&B/Soul, 국내드라마",2018.04.17,,여성,솔로
NSW yoon,대한민국,"랩/힙합, 인디음악, 월드뮤직",2021.06.23,,남성,솔로
MC몽,대한민국,"랩/힙합, 댄스, 발라드",2004.04.23,,남성,솔로
윤민수(바이브),대한민국,"발라드, R&B/Soul, CCM",2006.12.22,,남성,솔로
린,대한민국,"발라드, R&B/Soul, 국내드라마",2002.11.22,,여성,솔로
효린,대한민국,"발라드, 댄스, 국내드라마",2013.11.26,,여성,솔로
이영현,대한민국,"발라드, 국내드라마, 댄스",2009.10.29,,여성,솔로
V,대한민국,"R&B/Soul, 국내드라마, 발라드",2023.09.08,,남성,솔로
WSG워너비(4FIRE),대한민국,"R&B/Soul, 발라드",2022.07.09,"나비 (Navi) , SOLE (쏠) , 엄지윤 , 권진아",여성,그룹
박봄 (Park Bom),대한민국,"발라드, R&B/Soul, 댄스",2009.10.28,,여성,솔로
송하예,대한민국,"발라드, 국내드라마, 댄스",2014.08.08,,여성,솔로
뉴이스트,대한민국,"댄스, 발라드, R&B/Soul",2012.03.15,"김종현(JR) , 아론 , 백호 , 황민현 , 렌 (REN)",남성,그룹
주호,대한민국,"발라드, 국내드라마, R&B/Soul",2016.02.16,,남성,솔로
송가인,대한민국,"성인가요/트로트, 발라드, 국내드라마",2012.10.12,,여성,솔로
2BIC(투빅),대한민국,"발라드, R&B/Soul, 국내드라마",2012.03.14,"지환 (2BIC) , 준형 (2BIC)",남성,그룹
빈첸,대한민국,"랩/힙합, 발라드",2018.05.09,,남성,솔로
이소정,대한민국,"발라드, 국내드라마, R&B/Soul",2017.05.04,,여성,솔로
릴보이 (lIlBOI),대한민국,"랩/힙합, 국내드라마, 댄스",2018.12.07,,남성,솔로
조정석,대한민국,"국내드라마, 발라드, 포크/블루스",2015.08.28,,남성,솔로
헨리 (HENRY),캐나다,"발라드, 댄스, R&B/Soul",2013.06.07,,남성,솔로
빅마마,대한민국,"R&B/Soul, 발라드, 댄스",2003.02.06,"신연아 , 이영현 , 박민혜 (빅마마) , 이지영 (빅마마)",여성,그룹
펭수,대한민국,"댄스, 랩/힙합",2020.04.21,,unknown,솔로
윤토벤,대한민국,"발라드, 인디음악, 댄스",2019.08.01,,남성,솔로
거미 (GUMMY),대한민국,"발라드, R&B/Soul, 국내드라마",2003.02.01,,여성,솔로
Zion.T,대한민국,"R&B/Soul, 랩/힙합, 댄스",2011.04.29,,남성,솔로
정동하,대한민국,"발라드, 록/메탈, 국내드라마",2014.10.08,,남성,솔로
